Title,search_key,book_author,goodreads_rating,keep
Dangerous Liaisons,les liaisons dangereuses,pierre choderlos de laclos,4.05,y
Persuasion,persuasion,jane austen,4.15,y
The Gray Man,the gray man,mark greaney,4.16,y
Purple Hearts,purple hearts,tess wakefield,3.45,y
Look Both Ways,look both ways,jason reynolds,3.92,y
The Next 365 Days,this day,blanka lipiÅ„ska,3.41,y
Blonde,blonde,joyce carol oates,3.92,y
Mr. Harrigan's Phone,if it bleeds,stephen king,3.97,y
Luckiest Girl Alive,luckiest girl alive,jessica knoll,3.54,y
The School for Good and Evil,the school for good and evil,soman chainani,3.99,y
The Stranger,the stranger,harlan coben,3.9,y
The Good Nurse,the good nurse,charles graeber,3.86,y
All Quiet on the Western Front,all quiet on the western front,erich maria remarque,4.12,y
The Wonder,the wonder,emma donoghue,3.65,y
The Noel Diary,the noel diary,richard paul evans,4.14,y
Lady Chatterley's Lover,lady chatterleyâ€™s lover,d. h. lawrence,3.5,y
Scrooge: A Christmas Carol,a christmas carol,charles dickens,4.09,y
Guillermo del Toro's Pinocchio,the adventures of pinocchio,carlo collodi,3.84,y
White Noise,white noise,don delillo,3.86,y
Ivy + Bean,ivy + bean,annie barrows,3.96,y
The Pale Blue Eye,the pale blue eye,louis bayard,3.8,y
Dog Gone,dog gone: a lost pet's extraordinary journey,pauls toutonghi,3.87,y
True Spirit,true spirit: the aussie girl who took on the world,jessica watson,4.04,y
Dear David,dear david,adam ellis,,n
The Magician's Elephant,the magicianâ€™s elephant,kate dicamillo,3.87,y
The Perfect Find,the perfect find,tia williams,3.95,y
Nimona,nimona,nd stevenson,4.18,y
Happiness for Beginners,happiness for beginners,katherine center,4.03,y
Zom 100: Bucket List of the Dead,zom 100: bucket list of the dead,haro aso,4.02,y
The Monkey King,journey to the west,wu chengâ€™en,4.04,y
Killer Book Club,el club de los lectores criminales,carlos garcÃ­a miranda,3.5,y
You Are So Not Invited to My Bat Mitzvah,you are so not invited to my bat mitzvah!,fiona rosenbloom,3.67,y
Ehrengard: The Art of Seduction,ehrengard,karen blixen,3.94,y
Love at First Sight,the statistical probability of love at first sight,jennifer e. smith,3.74,y
Jaane Jaan,the devotion of suspect x,keigo higashino,4.17,y
The Black Book,the black book,james patterson,4.28,y
Nyad,find a way,diana nyad,4.2,y
The Archies,the archies,bob montana,,n
Leave the World Behind,leave the world behind,rumaan alam,3.14,y
Stamped from the Beginning,stamped from the beginning: the definitive history of racist ideas in america,ibram x. kendi,4.53,y
The Wonderful Story of Henry Sugar,the wonderful story of henry sugar and six more,roald dahl,4.12,y
The Swan,the swan,roald dahl,4.12,y
The Rat Catcher,the rat catcher,roald dahl,4.12,y
Poison,poison,roald dahl,4.12,y
Society of the Snow,la sociedad de la nieve,pablo vierci,4.56,y
Orion and the Dark,orion and the dark,emma yarlett,4.26,y
My Name Is Loh Kiwan,i met loh kiwan,cho hae-jin,3.89,y
Spaceman,spaceman of bohemia,jaroslav kalfaÅ™,3.8,y
24 Hours with Gaspar,24 jam bersama gaspar,sabda armandio,3.79,y
Murder Mubarak,club you to death,anuja chauhan,3.58,y
The Wonderful Story of Henry Sugar and Three More,the wonderful story of henry sugar and six more,roald dahl,4.12,y
Heart of the Hunter,heart of the hunter,deon meyer,4.02,y
The Wages of Fear,le salaire de la peur,georges arnaud,3.68,y
The Tearsmith,fabbricante di lacrime,erin doom,3.58,y
Scoop,scoops: behind the scenes of the bbcâ€™s most shocking interviews,sam mcalister,4.11,y
City Hunter,city hunter,tsukasa hojo,4.04,y
Thelma the Unicorn,thelma the unicorn,aaron blabey,4.2,y
The Price of Nonna's Inheritance,the price of nonnaâ€™s inheritance,caroline mitchell,,n
Uglies,uglies,scott westerfeld,3.84,y
Sweet Bobby: My Catfish Nightmare,sweet bobby: my catfish nightmare,kirat assi,,n
Ad Vitam,ad vitam,serge ravinel,,n
The Witcher: Sirens of the Deep,a little sacrifice,andrzej sapkowski,4.1,y
A Copenhagen Love Story,sult,tine hÃ¸eg,4.31,y
The Electric State,the electric state,simon stÃ¥lenhag,4.34,y
Little Siberia,little siberia,antti tuomainen,3.69,y
The Life List,the life list,lori nelson spielman,4.06,y
Fear Street: Prom Queen,the prom queen,r. l. stine,3.71,y
The Old Guard 2,the old guard,greg rucka & leandro fernÃ¡ndez,3.99,y
My Oxford Year,my oxford year,julia whelan,3.86,y
Night Always Comes,the night always comes,willy vlautin,3.83,y
The Thursday Murder Club,the thursday murder club,richard osman,3.85,y
Inspector Zende,mumbai's most wanted,madhukar zende,4.06,y
Ruth & Boaz,ruth and boaz: strangers in the land,terri l. fivash,4.49,y
Steve,shy,max porter,3.56,y
The Woman in Cabin 10,the woman in cabin 10,ruth ware,3.71,y
27 Nights,veintisiete noches,natalia zito,3.57,y
The Twits,the twits,roald dahl,4.12,y
Ballad of a Small Player,the ballad of a small player,lawrence osborne,3.5,y
Frankenstein,frankenstein,mary shelley,3.92,y
Train Dreams,train dreams,denis johnson,3.87,y
Chaos: The Manson Murders,chaos: charles manson the cia and the secret history of the sixties,tom o'neill & dan piepenbring,4.04,y
Latin Blood - The Ballad of Ney Matogrosso,ney matogrosso: a biografia,julio maria,4.28,y
Dr. Seuss's The Sneetches,the sneetches and other stories,dr. seuss,4.31,y
Je m'appelle Agneta,je m'appelle agneta,emma hamberg,3.77,y
Remarkably Bright Creatures,remarkably bright creatures,shelby van pelt,4.36,y
