Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author
Unspeakable Sins,30/07/2025,TV-MA,5.3,1225,"Drama, Thriller",2025,series,n,,
In the Mud,14/08/2025,TV-MA,6.3,1709,"Crime, Drama",2025,series,n,,
The Guest,24/09/2025,R,6.7,113257,"Action, Mystery, Thriller",2014,movie,n,,
"Old Dog, New Tricks",03/10/2025,TV-MA,7,3350,Comedy,2025,series,n,,
No One Saw Us Leave,15/10/2025,TV-MA,6.3,379,Drama,2025,series,n,,
City of Shadows,12/12/2025,R,5,159,"Action, Sci-Fi, Thriller",1987,movie,n,,
Time Flies,01/01/2026,TV-MA,5.4,261,"Comedy, Crime, Drama",2026,series,n,,
Salvador,06/02/2026,R,7.3,24936,"Drama, History, Thriller",1986,movie,n,,
Between Father and Son,13/05/2026,N/A,4.2,265,"Drama, Thriller",2026,series,n,,
The Ã…re Murders,06/02/2025,TV-MA,6.7,13016,"Crime, Drama, Mystery",2025,series,y,Hidden in Snow,Viveca Sten
Ethos,12/11/2020,TV-MA,8.4,31210,Drama,2020,series,n,,
Graveyard,17/06/2022,N/A,7.7,4888,"Crime, Drama, Mystery",2022,series,n,,
Another Self,28/07/2022,TV-MA,7.2,22165,"Drama, Romance",2022,series,n,,
"Thank You, Next",09/05/2024,TV-MA,6,21909,"Comedy, Drama, Romance",2024,series,n,,
Platonic,18/09/2025,TV-MA,7.2,24960,"Comedy, Romance",2023,series,n,,
Old Money,10/10/2025,TV-MA,5.1,3634,Drama,2025,series,n,,
Home for Christmas,05/12/2019,TV-MA,7.7,17670,"Comedy, Drama, Romance",2019,series,n,,
The Chestnut Man,29/09/2021,TV-MA,7.6,66008,"Crime, Drama, Mystery",2021,series,y,The Chestnut Man,Søren Sveistrup
Kohrra,15/07/2023,TV-MA,7.5,9974,"Crime, Drama, Thriller",2023,series,n,,
Catalog,17/07/2025,TV-14,7.6,1097,"Comedy, Drama",2025,series,n,,
Marked,31/07/2025,Not Rated,3.3,138,Thriller,2007,movie,n,,
The Game: You Never Play Alone,02/10/2025,N/A,4.6,551,"Crime, Mystery, Thriller",2025,series,n,,
The Asset,27/10/2025,TV-MA,7.2,1037,"Crime, Drama, Thriller",2025,series,n,,
Alkhallat+: The Series,02/04/2026,TV-14,6.6,504,Comedy,2026,series,n,,
The Polygamist,12/06/2026,N/A,7.6,5,"Short, Comedy",2014,movie,n,,
Formula 1: Drive to Survive,08/03/2019,TV-MA,8.5,59202,"Documentary, Sport",2019,series,n,,
Full Swing,15/02/2023,TV-MA,8,4785,"Documentary, Sport",2023,series,n,,
Missing: Dead or Alive?,10/05/2023,TV-MA,5.8,1951,"Documentary, Crime",2023,series,n,,
Quarterback,12/07/2023,TV-MA,8,5693,"Documentary, Sport",2023,series,n,,
Homicide,20/03/2024,R,6.9,8648,"Crime, Mystery, Thriller",1991,movie,n,,
America's Sweethearts: Dallas Cowboys Cheerleaders,20/06/2024,TV-14,7,2510,Documentary,2024,series,n,,
Kaulitz & Kaulitz,25/06/2024,TV-MA,7.1,1306,"Documentary, Biography, Music",2024,series,n,,
Worst Ex Ever,28/08/2024,TV-MA,7.2,3594,"Documentary, Crime",2024,series,n,,
Starting 5,09/10/2024,TV-MA,7.2,1266,"Documentary, Sport",2024,series,n,,
Off Road,10/07/2025,N/A,6.6,72,"Documentary, Biography, Family",2013,movie,n,,
Amy Bradley Is Missing,16/07/2025,TV-14,6.7,7100,"Documentary, Crime, Mystery",2025,series,n,,
Critical: Between Life and Death,23/07/2025,TV-MA,8.2,391,Documentary,2025,series,n,,
WWE Unreal,29/07/2025,TV-MA,8,2318,"Documentary, Reality-TV, Sport",2025,series,n,,
Conversations with a Killer: The Son of Sam Tapes,30/07/2025,TV-MA,6.7,1200,"Documentary, Biography, Crime",2025,series,n,,
SEC Football: Any Given Saturday,05/08/2025,TV-MA,7.1,575,"Documentary, Sport",2025,series,n,,
Katrina: Come Hell and High Water,27/08/2025,TV-MA,7.4,114,Documentary,2025,series,n,,
True Haunting,07/10/2025,TV-MA,6,2257,"Documentary, Horror",2025,series,n,,
Mob War: Philadelphia vs. The Mafia,22/10/2025,TV-MA,6.6,1248,"Documentary, Crime",2025,series,n,,
Marines,10/11/2025,N/A,6.3,729,Documentary,2025,series,n,,
Sean Combs: The Reckoning,02/12/2025,TV-MA,7.5,9978,"Documentary, Crime",2025,series,n,,
Glitter & Gold: Ice Dancing,01/02/2026,PG-13,2.4,24250,"Drama, Music, Romance",2001,movie,n,,
Reality Check: Inside America's Next Top Model,16/02/2026,TV-MA,6.5,1180,Documentary,2026,series,n,,
Being Gordon Ramsay,18/02/2026,TV-MA,6.8,104,Documentary,2026,series,n,,
Dynasty: The Murdochs,13/03/2026,TV-MA,6.8,1335,"Documentary, Biography",2026,series,n,,
Trust Me: The False Prophet,08/04/2026,TV-MA,7.7,2874,Documentary,2026,series,n,,
This Is a Gardening Show,22/04/2026,N/A,7.7,586,"Documentary, Comedy, Reality-TV",2026,series,n,,
Selling Sunset,22/03/2019,TV-MA,6.5,8872,Reality-TV,2019,series,n,,
Love Is Blind,13/02/2020,TV-MA,6.2,12986,"Reality-TV, Romance",2020,series,n,,
Love Is Blind: Brazil,06/10/2021,TV-MA,6.2,1021,"Reality-TV, Romance",2021,series,n,,
The Ultimatum: Marry or Move On,06/04/2022,TV-MA,5.5,3131,Reality-TV,2022,series,n,,
Love on the Spectrum,18/05/2022,TV-14,8.6,7903,"Documentary, Reality-TV, Romance",2019,series,n,,
Rhythm + Flow France,09/06/2022,TV-MA,6.4,266,"Music, Reality-TV",2022,series,n,,
Selling the OC,24/08/2022,TV-MA,5.7,1984,Reality-TV,2022,series,n,,
Dubai Bling,27/10/2022,TV-MA,3.9,2165,Reality-TV,2022,series,n,,
Perfect Match,14/02/2023,TV-14,5.8,2786,"Reality-TV, Romance",2023,series,n,,
Too Hot to Handle: Germany,28/02/2023,TV-MA,4.5,474,"Game-Show, Reality-TV, Romance",2023,series,n,,
King of Collectibles: The Goldin Touch,28/04/2023,TV-14,6.5,1397,Reality-TV,2023,series,n,,
Love Village,02/05/2023,TV-14,7.4,340,"Reality-TV, Romance",2022,series,n,,
At Home with the Furys,16/08/2023,TV-MA,7,1360,"Documentary, Reality-TV, Sport",2023,series,n,,
The Devil's Plan,26/09/2023,TV-14,8.3,5524,"Game-Show, Reality-TV",2023,series,n,,
Squid Game: The Challenge,22/11/2023,TV-MA,5.9,22167,"Game-Show, Reality-TV",2023,series,n,,
Love Is Blind: Sweden,12/01/2024,TV-MA,6.4,774,"Game-Show, Reality-TV, Romance",2024,series,n,,
Unlocked: A Jail Experiment,10/04/2024,N/A,7.1,2065,"Documentary, Reality-TV",2024,series,n,,
Agents of Mystery,18/06/2024,TV-MA,6.7,433,"Crime, Game-Show, Reality-TV",2024,series,n,,
Owning Manhattan,28/06/2024,N/A,7.3,1466,Reality-TV,2024,series,n,,
The Boyfriend,09/07/2024,TV-MA,7.9,1855,"Reality-TV, Romance",2024,series,n,,
Love Is Blind: UK,07/08/2024,TV-MA,6.9,1281,"Game-Show, Reality-TV, Romance",2024,series,n,,
Culinary Class Wars,17/09/2024,TV-14,8.5,3114,"Game-Show, Reality-TV",2024,series,n,,
"Love Is Blind, Habibi",10/10/2024,TV-MA,5.1,382,"Reality-TV, Romance",2024,series,n,,
Love Is Blind: Germany,03/01/2025,TV-MA,5.4,228,"Reality-TV, Romance",2025,series,n,,
Million Dollar Secret,26/03/2025,TV-14,7.6,3453,"Game-Show, Reality-TV",2025,series,n,,
Better Late Than Single,08/07/2025,TV-14,7.4,660,"Reality-TV, Romance",2025,series,n,,
Building the Band,09/07/2025,TV-MA,7.4,1446,"Game-Show, Music, Reality-TV",2025,series,n,,
Hitmakers,24/07/2025,TV-MA,6.3,197,"Documentary, Music, Reality-TV",2025,series,n,,
Final Draft,12/08/2025,N/A,2.2,18995,"Comedy, Drama, Romance",2022,series,n,,
Love Is Blind: France,10/09/2025,TV-MA,5.9,46,"Reality-TV, Romance",2025,series,n,,
Next Gen Chef,17/09/2025,TV-PG,7,712,"Game-Show, Reality-TV",2025,series,n,,
Physical: Asia,28/10/2025,TV-14,8.1,3255,"Game-Show, Reality-TV",2025,series,n,,
What's in the Box,17/12/2025,N/A,6.7,27,"Short, Action, Adventure",2009,movie,n,,
Ready or Not: Texas,24/03/2026,N/A,6.2,63,"Adventure, Reality-TV",2026,series,n,,
Love Is Blind: Poland,06/05/2026,TV-MA,6.7,83,"Reality-TV, Romance",2026,series,n,,
Desi Bling,20/05/2026,N/A,4,76,Reality-TV,2026,series,n,,
My Next Guest Needs No Introduction with David Letterman,12/01/2018,TV-MA,7.8,6488,Talk-Show,2018,series,n,,
Dinner Time Live with David Chang,25/01/2024,TV-MA,7.5,321,Reality-TV,2024,series,n,,
