Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Murder Mindfully,2024-10-31,TV-MA,7.4,10956.0,"Comedy, Crime, Mystery",2024,series
Dudes,2025-10-02,N/A,7.9,8402.0,"Comedy, Music, Musical",2001,movie
Unfamiliar,2026-02-05,N/A,6.8,838.0,"Action, Crime, Drama",2026,series
Delhi Crime,2019-03-22,TV-MA,8.5,27723.0,"Crime, Drama",2019,series
Mismatched,2020-11-20,TV-MA,6.0,6256.0,"Comedy, Drama, Romance",2020,series
Yeh Kaali Kaali Ankhein,2022-01-14,TV-MA,7.0,9964.0,"Comedy, Crime, Mystery",2022,series
Guns & Gulaabs,2023-08-18,R,4.4,1578.0,Action,1990,movie
Maamla Legal Hai,2024-03-01,TV-MA,8.0,10079.0,"Comedy, Drama",2024,series
Heeramandi: The Diamond Bazaar,2024-05-01,TV-MA,6.3,28874.0,"Drama, History, Romance",2024,series
Black Warrant,2025-01-10,TV-MA,7.9,7552.0,"Crime, Drama",2025,series
The Royals,2025-05-09,TV-14,7.4,14626.0,Drama,2015,series
The Ba***ds of Bollywood,2025-09-18,TV-MA,7.7,7379.0,"Adventure, Comedy, Drama",2025,series
Single Papa,2025-12-12,TV-MA,8.0,5351.0,Comedy,2025,series
Taskaree: The Smuggler's Web,2026-01-13,TV-MA,7.1,5386.0,"Crime, Thriller",2026,series
Glory,2026-05-01,R,7.8,150916.0,"Biography, Drama, History",1989,movie
Ratu Ratu Queens: The Series,2025-09-12,TV-14,7.0,168.0,"Adventure, Comedy, Drama",2025,series
My Family,2025-02-19,TV-14,7.5,10714.0,Comedy,2000,series
Real Men,2025-05-21,PG-13,6.0,4847.0,"Action, Comedy, Sci-Fi",1987,movie
Motorvalley,2026-02-10,TV-MA,5.6,377.0,"Drama, Sport",2025,series
Romantics Anonymous,2025-10-16,PG-13,6.9,12166.0,"Comedy, Romance",2010,movie
Last Samurai Standing,2025-11-13,TV-MA,7.6,19071.0,"Action, Drama, History",2025,series
Straight to Hell,2026-04-27,R,5.6,3023.0,"Action, Comedy, Western",1987,movie
Viral Hit,2026-06-11,N/A,7.1,1346.0,"Animation, Action",2024,series
All of Us Are Dead,2022-01-28,TV-MA,7.6,87687.0,"Action, Drama, Fantasy",2022,series
