Title,Premiere,is_book_adaptation,book_title,book_author
Between Two Ferns: The Movie,20/09/2019,n,,
In the Shadow of the Moon,27/09/2019,n,,
In the Tall Grass,04/10/2019,y,In the Tall Grass,Stephen King & Joe Hill
El Camino: A Breaking Bad Movie,11/10/2019,n,,
Fractured,11/10/2019,n,,
The Forest of Love,11/10/2019,n,,
Street Flow,12/10/2019,n,,
Eli,18/10/2019,n,,
Seventeen,18/10/2019,n,,
The Laundromat,18/10/2019,n,,
Upstarts,18/10/2019,n,,
Dolemite Is My Name,25/10/2019,n,,
Rattlesnake,25/10/2019,n,,
The King,01/11/2019,y,"Henry IV, Part 1; Henry IV, Part 2; Henry V",William Shakespeare
American Son,01/11/2019,n,,
Drive,01/11/2019,n,,
Holiday in the Wild,01/11/2019,n,,
Let It Snow,08/11/2019,y,Let It Snow: Three Holiday Romances,"John Green, Maureen Johnson & Lauren Myracle"
Earthquake Bird,15/11/2019,y,Earthquake Bird,Susanna Jones
House Arrest,15/11/2019,n,,
Klaus,15/11/2019,n,,
The Knight Before Christmas,21/11/2019,n,,
The Irishman,27/11/2019,y,I Heard You Paint Houses,Charles Brandt
Holiday Rush,28/11/2019,n,,
Dead Kids,01/12/2019,n,,
A Christmas Prince: The Royal Baby,05/12/2019,n,,
Marriage Story,06/12/2019,n,,
6 Underground,13/12/2019,n,,
The Two Popes,20/12/2019,n,,
Como caÃ­do del cielo,24/12/2019,n,,
The App,26/12/2019,n,,
ReMastered: Massacre at the Stadium,11/01/2019,n,,
Fyre: The Greatest Party That Never Happened,18/01/2019,n,,
ReMastered: The Two Killings of Sam Cooke,08/02/2019,n,,
Period. End of Sentence.,12/02/2019,n,,
Antoine Griezmann: The Making of a Legend,21/03/2019,n,,
ReMastered: The Miami Showband Massacre,22/03/2019,n,,
The Legend of Cocaine Island,29/03/2019,n,,
Homecoming: A Film by BeyoncÃ©,17/04/2019,n,,
BrenÃ© Brown: The Call to Courage,19/04/2019,n,,
Grass Is Greener,20/04/2019,n,,
ReMastered: Devil at the Crossroads,26/04/2019,n,,
Knock Down the House,01/05/2019,n,,
All in My Family,03/05/2019,n,,
ReMastered: The Lion's Share,17/05/2019,n,,
A Tale of Two Kitchens,22/05/2019,n,,
After Maria,24/05/2019,n,,
The Black Godfather,07/06/2019,n,,
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,12/06/2019,n,,
Life Overtakes Me,14/06/2019,n,,
The Edge of Democracy,19/06/2019,n,,
Parchis: The Documentary,10/07/2019,n,,
The Great Hack,24/07/2019,n,,
Enter the Anime,05/08/2019,n,,
American Factory,21/08/2019,n,,
Travis Scott: Look Mom I Can Fly,28/08/2019,n,,
Evelyn,10/09/2019,n,,
"Hello, Privilege. It's Me, Chelsea",13/09/2019,n,,
Los Tigres del Norte at Folsom Prison,15/09/2019,n,,
Birders,25/09/2019,n,,
Ghosts of Sugar Land,16/10/2019,n,,
Tell Me Who I Am,18/10/2019,n,,
Dancing with the Birds,23/10/2019,n,,
It Takes a Lunatic,25/10/2019,n,,
A 3 Minute Hug,28/10/2019,n,,
Fire in Paradise,01/11/2019,n,,
"Bikram: Yogi, Guru, Predator",20/11/2019,n,,
"Lorena, Light-Footed Woman",20/11/2019,n,,
After the Raid,19/12/2019,n,,
El Pepe: A Supreme Life,27/12/2019,n,,
Kevin Hart's Guide to Black History,08/02/2019,n,,
Still Laugh-In: The Stars Celebrate,14/05/2019,n,,
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,23/05/2019,n,,
"Frankenstein's Monster's Monster, Frankenstein",16/07/2019,n,,
Rocko's Modern Life: Static Cling,09/08/2019,n,,
Sturgill Simpson Presents: Sound & Fury,27/09/2019,n,,
The Irishman: In Conversation,27/11/2019,n,,
Porta dos Fundos: The First Temptation of Christ,03/12/2019,n,,
John Mulaney & the Sack Lunch Bunch,24/12/2019,n,,
Anima,27/06/2019,n,,
American Factory: A Conversation with the Obamas,21/08/2019,n,,
Little Miss Sumo,28/10/2019,n,,
The Road to El Camino: A Breaking Bad Movie,29/10/2019,n,,
Ghost Stories,01/01/2020,n,,
A Fall from Grace,17/01/2020,n,,
Airplane Mode,23/01/2020,n,,
Horse Girl,07/02/2020,n,,
To All the Boys: P.S. I Still Love You,12/02/2020,y,P.S. I Still Love You,Jenny Han
Isi & Ossi,14/02/2020,n,,
The Last Thing He Wanted,21/02/2020,y,The Last Thing He Wanted,Joan Didion
Yeh Ballet,21/02/2020,n,,
All the Bright Places,28/02/2020,y,All the Bright Places,Jennifer Niven
Guilty,06/03/2020,n,,
Spenser Confidential,06/03/2020,y,Spenser,Robert B. Parker
Lost Girls,13/03/2020,y,Lost Girls: An Unsolved American Mystery,Robert Kolker
Ultras,20/03/2020,n,,
The Occupant,25/03/2020,n,,
Maska,27/03/2020,n,,
The Decline,27/03/2020,n,,
Uncorked,27/03/2020,n,,
Coffee & Kareem,03/04/2020,n,,
The Main Event,10/04/2020,n,,
Love Wedding Repeat,10/04/2020,n,,
Tigertail,10/04/2020,n,,
Earth and Blood,17/04/2020,n,,
Rising High,17/04/2020,n,,
Sergio,17/04/2020,y,Chasing the Flame: Sergio Vieira de Mello and the Fight to Save the World,Samantha Power
The Willoughbys,22/04/2020,y,The Willoughbys,Lois Lowry
Time to Hunt,23/04/2020,n,,
Extraction,24/04/2020,n,,
Dangerous Lies,30/04/2020,y,Dangerous Lies,Becca Fitzpatrick
Rich in Love,30/04/2020,n,,
All Day and a Night,01/05/2020,n,,
Mrs. Serial Killer,01/05/2020,n,,
The Half of It,01/05/2020,n,,
The Wrong Missy,13/05/2020,n,,
The Lovebirds,22/05/2020,n,,
I'm No Longer Here,27/05/2020,n,,
Intuition,28/05/2020,n,,
Choked: Paisa Bolta Hai,05/06/2020,n,,
The Last Days of American Crime,05/06/2020,n,,
Da 5 Bloods,12/06/2020,n,,
A Whisker Away,18/06/2020,n,,
Feel the Beat,19/06/2020,n,,
Lost Bullet,19/06/2020,n,,
One-Way to Tomorrow,19/06/2020,n,,
Bulbbul,24/06/2020,n,,
Nobody Knows I'm Here,24/06/2020,n,,
Eurovision Song Contest: The Story of Fire Saga,26/06/2020,n,,
Under the Riccione Sun,01/07/2020,n,,
Desperados,03/07/2020,n,,
The Old Guard,10/07/2020,y,The Old Guard,Greg Rucka & Leandro Fernández
The Players,15/07/2020,n,,
Fatal Affair,16/07/2020,n,,
Offering to the Storm,24/07/2020,y,Offering to the Storm,Dolores Redondo
The Kissing Booth 2,24/07/2020,y,The Kissing Booth 2: Going the Distance,Beth Reekles
Seriously Single,31/07/2020,n,,
Raat Akeli Hai,31/07/2020,n,,
Work It,07/08/2020,n,,
Gunjan Saxena: The Kargil Girl,12/08/2020,y,The Kargil Girl,Gunjan Saxena & Pooja Pradhan
Project Power,14/08/2020,n,,
Fearless,14/08/2020,n,,
Crazy Awesome Teachers,17/08/2020,n,,
The Crimes That Bind,20/08/2020,y,The Crimes That Bind,Dolores Redondo
The Sleepover,21/08/2020,n,,
Class of '83,21/08/2020,n,,
Dark Forces,21/08/2020,n,,
All Together Now,28/08/2020,n,,
Unknown Origins,28/08/2020,n,,
Freaks â€“ You're One of Us,02/09/2020,n,,
